productid,status,volume,season,customer,tax verified
1,individual,90,winter,strategic,no
1,individual,900,spring,strategic,yes
2,corporate,140,autumn,strategic,no
1,individual,90,spring,non-strategic,yes
3,individual,320,spring,non-strategic,no
3,corporate,1331,winter,non-strategic,yes
1,individual,954,winter,strategic,no
3,individual,129,summer,non-strategic,yes
2,corporate,1629,spring,strategic,no
1,corporate,265,autumn,non-strategic,yes
3,individual,663,summer,strategic,no
1,individual,62,winter,non-strategic,yes
